x1,x2,rg_mean,rg_std
15,0,3.148966795,0.129136588
15,2,2.867266246,0.099836959
15,4,2.973193951,0.108612811
15,6,3.415144962,0.114561659
15,8,3.209061499,0.106136932
15,10,3.194274979,0.119474042
15,12,3.240082429,0.121866053
15,14,3.299043737,0.098956086
15,16,3.372846955,0.095804524
15,18,3.098412093,0.097237979
15,20,3.393765978,0.127650055
15,22,3.258580349,0.119685942
15,24,3.324822831,0.100924788
15,26,3.32773952,0.11209598
15,28,3.332221433,0.122774036
15,30,3.301192839,0.107730382
15,32,3.460268424,0.111051943
15,34,3.570002435,0.120844382
15,36,3.520321201,0.116545576
15,38,3.701335708,0.136136645
15,40,3.670960561,0.109839199
15,42,3.720219757,0.12470328
15,44,3.915403669,0.157757828
15,46,3.784752027,0.125038059
15,48,3.484475831,0.113314298
15,50,3.959200556,0.112514947
15,52,3.934451188,0.122325186
15,54,3.981234764,0.134370692
15,56,3.598613742,0.116551503
15,58,4.026687493,0.09715879
15,60,4.087791943,0.12466853
15,62,4.042701106,0.153855391
15,64,4.36556813,0.157357589
15,66,4.726109229,0.144009537
15,68,4.288468707,0.128696765
15,70,4.720183997,0.222614062
15,72,3.861775614,0.133775769
15,74,4.177435571,0.139253704
15,76,4.294834814,0.137678097
15,78,4.329794561,0.108120346
15,80,3.819998746,0.102751716
15,82,4.53249318,0.17322811
15,84,4.410198575,0.139980107
15,86,4.1559906,0.136549092
15,88,4.546856687,0.178577093
15,90,4.646894425,0.174943745
15,92,4.241943058,0.156330716
15,94,4.597105326,0.166835261
15,96,4.562218383,0.226584701
15,98,5.054054164,0.15833283
15,100,4.035317992,0.129714057
17,0,3.06007645,0.111526146
17,2,3.064958046,0.108022946
17,4,2.946414979,0.08611635
17,6,3.149956513,0.119192015
17,8,3.074398709,0.104035331
17,10,3.039089666,0.093747807
17,12,3.391901523,0.131111206
17,14,3.177848735,0.123298412
17,16,3.303727902,0.118818317
17,18,3.110064534,0.118565298
17,20,3.324932372,0.113081478
17,22,3.166108267,0.08769531
17,24,3.217357536,0.077204861
17,26,3.512266807,0.109170408
17,28,3.667508585,0.129687401
17,30,3.303661599,0.117274359
17,32,3.663158089,0.107716807
17,34,3.276542397,0.094511563
17,36,3.352317036,0.088581457
17,38,3.474391256,0.107959299
17,40,3.528358036,0.094870846
17,42,3.140854636,0.081182312
17,44,3.62602122,0.125598937
17,46,3.584912276,0.127774266
17,48,3.872573136,0.170023499
17,50,3.914858039,0.111431546
17,52,3.360366365,0.105450208
17,54,4.07257699,0.131984471
17,56,3.623269435,0.120753627
17,58,4.192674355,0.125315004
17,60,3.757254979,0.102886435
17,62,3.804112728,0.116352229
17,64,4.020607491,0.150921627
17,66,4.19861902,0.130816144
17,68,3.533511677,0.102273589
17,70,3.991671356,0.134904884
